"scenario_id","pathogen","intervention","e_max_mult","delay_max","antiviral_start","n_sim","p_epidemic","mean_infected","median_infected","q25_infected","q75_infected"
104,"SARS-CoV-2","Maximum",0.5,1,14,500,0.002,7.726,5,2,10
105,"H1N1","Mild",0.75,1,14,500,0.246,57.566,5,2,91
106,"SARS-CoV-2","Mild",0.75,1,14,500,0.664,68.452,77,4.75,108
107,"H1N1","Moderate",0.75,1,14,500,0.006,15.788,5,2,20
108,"SARS-CoV-2","Moderate",0.75,1,14,500,0,9.182,6,2,12
109,"H1N1","Intensive",0.75,1,14,500,0.004,13.67,5,2,18
110,"SARS-CoV-2","Intensive",0.75,1,14,500,0.002,7.668,5,2,10
111,"H1N1","Maximum",0.75,1,14,500,0.004,13.768,5,2,18
112,"SARS-CoV-2","Maximum",0.75,1,14,500,0.002,7.456,5,2,10
113,"H1N1","Mild",1,1,14,500,0.168,55.426,5,2,58.25
114,"SARS-CoV-2","Mild",1,1,14,500,0.594,70.046,72,4,119.25
115,"H1N1","Moderate",1,1,14,500,0.004,15.532,5,2,19
116,"SARS-CoV-2","Moderate",1,1,14,500,0,8.382,6,2,11
117,"H1N1","Intensive",1,1,14,500,0.004,13.532,5,2,18
118,"SARS-CoV-2","Intensive",1,1,14,500,0.002,7.3,5,2,10
119,"H1N1","Maximum",1,1,14,500,0.004,13.29,5,2,18
120,"SARS-CoV-2","Maximum",1,1,14,500,0,7.252,5,2,9
121,"H1N1","Mild",0,4,14,500,0.34,47.624,5,2,98
122,"SARS-CoV-2","Mild",0,4,14,500,0.758,62.456,70,30.5,87.25
123,"H1N1","Moderate",0,4,14,500,0.088,53.646,5,2,32
124,"SARS-CoV-2","Moderate",0,4,14,500,0.014,24.144,7,3,22
125,"H1N1","Intensive",0,4,14,500,0.012,22.55,5,2,25
126,"SARS-CoV-2","Intensive",0,4,14,500,0.002,12.314,6,3,16
127,"H1N1","Maximum",0,4,14,500,0.01,16.458,5,2,22.25
128,"SARS-CoV-2","Maximum",0,4,14,500,0.004,9.872,6,3,13
129,"H1N1","Mild",0.25,4,14,500,0.336,51.702,5,2,108
130,"SARS-CoV-2","Mild",0.25,4,14,500,0.75,62.318,68,20.25,90
131,"H1N1","Moderate",0.25,4,14,500,0.06,45.396,5,2,36.5
132,"SARS-CoV-2","Moderate",0.25,4,14,500,0.002,16.132,7,3,18
133,"H1N1","Intensive",0.25,4,14,500,0.008,19.054,5,2,24
134,"SARS-CoV-2","Intensive",0.25,4,14,500,0.002,11.51,6,2.75,14
135,"H1N1","Maximum",0.25,4,14,500,0.008,16.376,5,2,22
136,"SARS-CoV-2","Maximum",0.25,4,14,500,0,9.268,6,3,12
137,"H1N1","Mild",0.5,4,14,500,0.318,51.682,5,2,96
138,"SARS-CoV-2","Mild",0.5,4,14,500,0.738,65.508,71,10.5,96
139,"H1N1","Moderate",0.5,4,14,500,0.032,38.67,5,2,33.25
140,"SARS-CoV-2","Moderate",0.5,4,14,500,0.006,14.2,7,3,16
